lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.637542,-79.392068,Harbourfront-CityPlace,3,35,0.153,0.7,0.1,0.375,29.62,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 14.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.637862,-79.390622,Harbourfront-CityPlace,2,32,0.153,0.64,0.1,0.25,25.92,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 12.8, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.673569,-79.375058,Rosedale-Moore Park,3,1,0.337,0.02,0.3,0.375,27.36,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 0.4, 'street_contribution': 6.0, 'degree_contribution': 7.5}"
43.675128,-79.368748,Rosedale-Moore Park,2,1,0.337,0.02,0.4,0.25,26.86,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 0.4, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.67449,-79.368545,Rosedale-Moore Park,3,3,0.337,0.06,0.667,0.375,35.49,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 1.2, 'street_contribution': 13.33, 'degree_contribution': 7.5}"
43.675049,-79.377845,Rosedale-Moore Park,3,7,0.337,0.14,0.4,0.375,31.76,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 2.8, 'street_contribution': 8.0, 'degree_contribution': 7.5}"
43.675255,-79.373583,Rosedale-Moore Park,2,0,0.337,0.0,0.4,0.25,26.46,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 0.0, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.674472,-79.368779,Rosedale-Moore Park,2,3,0.337,0.06,0.4,0.25,27.66,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 1.2, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.674548,-79.380306,Rosedale-Moore Park,2,13,0.337,0.26,0.4,0.25,31.66,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 5.2, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.674492,-79.380857,Rosedale-Moore Park,2,8,0.337,0.16,0.4,0.25,29.66,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 3.2, 'street_contribution': 8.0, 'degree_contribution': 5.0}"
43.674572,-79.380169,Rosedale-Moore Park,4,12,0.337,0.24,0.55,0.5,39.26,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 4.8, 'street_contribution': 11.0, 'degree_contribution': 10.0}"
43.671963,-79.370842,Cabbagetown-South St.James Town,3,7,0.321,0.14,0.767,0.375,38.47,Medium,#ffff00,"{'crime_contribution': 12.83, 'poi_contribution': 2.8, 'street_contribution': 15.33, 'degree_contribution': 7.5}"
43.672128,-79.370579,Rosedale-Moore Park,2,3,0.337,0.06,0.8,0.25,35.66,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 1.2, 'street_contribution': 16.0, 'degree_contribution': 5.0}"
43.671885,-79.379119,North St.James Town,4,39,0.326,0.78,0.575,0.5,50.13,Medium,#ffff00,"{'crime_contribution': 13.03, 'poi_contribution': 15.6, 'street_contribution': 11.5, 'degree_contribution': 10.0}"
