source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
0,1,32.3354965512409,164.40390893917532,Waterfront Recreational Trail,cycleway,29.62,25.92,Low
2,3,46.68684241666335,722.1262418540523,Dale Avenue,residential,27.36,26.86,Low
3,4,33.52031647317224,75.23068077537252,Castle Frank Road,residential,26.86,35.49,Low
3277,8,28.927197056834494,45.81334261874527,Elm Avenue,residential,23.66,31.66,Low
10,5,44.86241132611001,263.3740165054918,Elm Avenue,residential,39.26,31.76,Low
11,12,38.34746106876292,34.60032561076275,Bloor Street East,primary,38.47,35.66,Low
13,3553,42.14853801015225,76.72852242054537,Unnamed,secondary_link,50.13,28.16,Low
11,14,39.27802039393662,48.25247915496727,Parliament Street,secondary,38.47,36.47,Low
15,16,39.16228329326662,110.67167592928554,Mount Pleasant Road,secondary,34.06,36.46,Low
17,18,39.50084055557426,56.172207368295496,Mount Pleasant Road,secondary,38.53,36.27,Low
16,19,40.03311620708521,86.08562688782453,Mount Pleasant Road,secondary,36.46,37.26,Low
20,21,38.715073271815925,69.03419223570121,Bloor Street East,primary,36.63,35.8,Low
22,23,60.93701601482039,35.28739406762452,Bloor Street West,primary,59.46,58.26,Medium
24,13,49.94664320760285,13.527662491940957,Bloor Street East,primary,48.43,50.13,Low
25,26,57.580888460654535,95.21423605619643,Queen's Park Crescent West,secondary,56.49,48.66,Medium
27,28,29.263417318287523,63.54415112802187,Queen's Park Crescent West,secondary,27.8,27.23,Low
29,27,28.674165791265942,38.91905040818617,Queen's Park Crescent West,secondary,27.4,27.8,Low
30,25,50.47863796911713,95.93221817449259,Unnamed,secondary_link,35.63,56.49,Medium
31,32,28.686352667714132,93.64668958117166,Unnamed,secondary_link,27.23,25.23,Low
30,33,49.470987819122655,85.00905404370349,Queen's Park,secondary,35.63,55.56,Low
31,34,42.24644369029131,61.60180148991846,Queen's Park,secondary,27.23,52.36,Low
35,36,94.72700915894607,203.41750821248903,University Avenue,secondary,79.8,77.63,Medium
37,38,25.72857526029749,30.79227805679032,Sunlight Park Road,residential,25.16,24.76,Low
39,40,37.35297902640083,63.27865147739323,Broadview Avenue,secondary,32.2,38.06,Low
41,42,43.31358038741635,155.64515441345657,Parliament Street,secondary,39.58,35.38,Low
43,34,46.123815480214326,59.586847696170864,Queen's Park,secondary,34.7,52.36,Low
44,45,34.129342468138645,91.09151112975206,Eastern Avenue,secondary,31.56,31.0,Low
47,48,35.36503903990784,36.49000703129658,Lake Shore Boulevard West,primary,35.52,32.72,Low
49,50,37.38012153110171,135.13882572431527,Unnamed,primary_link,29.76,36.1,Low
51,52,33.51850177173586,86.4992470578888,Lake Shore Boulevard West,primary,29.4,32.3,Low
53,54,38.99113874097769,66.7890216409766,Bathurst Street,tertiary,41.7,31.4,Low
55,56,31.88572459132185,31.233007481301737,Eireann Quay,tertiary,31.12,30.72,Low
57,58,43.144836152594486,292.53553482907375,Lake Shore Boulevard East,primary,33.38,33.38,Low
59,60,35.639992199864984,81.31044295706857,Lake Shore Boulevard East,primary,33.38,32.54,Low
61,62,38.606125871403336,21.866751492941614,Parliament Street,secondary,37.78,37.78,Low
63,64,42.009187001406296,101.73582484674287,Lake Shore Boulevard West,primary,36.18,40.08,Low
65,66,44.80965979559031,159.97048396557886,Lake Shore Boulevard West,primary,43.88,33.38,Low
67,37,29.2817640325003,60.5492224737522,Sunlight Park Road,residential,30.06,25.16,Low
68,69,40.19121038729861,55.441449246287036,Trinity Street,residential,35.98,40.18,Low
70,71,66.17043154980485,421.49154779387436,Bathurst Street,secondary,51.4,41.7,Medium
72,73,28.18400008517402,134.6215815287449,Bathurst Street,secondary,28.34,21.34,Low
74,75,42.50232068462155,137.03372618035183,Gardiner Expressway,motorway,37.38,37.38,Low
76,77,55.13643066440879,287.1817594119014,King Street West,secondary,50.17,35.5,Medium
79,80,34.187691820150484,402.28432404226766,Unnamed,service,24.58,24.18,Low
82,83,45.884719590728636,159.14410990851664,Bathurst Street,secondary,38.0,41.17,Low
84,85,40.01599613413741,17.959708321989645,Bathurst Street,secondary,41.22,37.4,Low
86,87,40.89973692363303,28.01902535209337,Bathurst Street,secondary,40.62,38.95,Low
89,76,65.8768893201382,390.83477927030935,Dufferin Street,secondary,44.56,50.17,Medium
90,91,29.272688109346802,26.571562663398122,Dufferin Street,tertiary,28.6,28.43,Low
92,93,30.237036923795113,139.51524114547246,British Columbia Road,tertiary,28.87,24.2,Low
94,95,26.271489365671655,143.23278353662573,Unnamed,unclassified,19.36,26.6,Low
96,97,22.106657799850243,62.82008653126168,Alberta Circle,unclassified,22.0,19.6,Low
98,99,25.599588466234795,77.19707411044793,Ontario Drive,unclassified,24.3,23.23,Low
100,101,26.61606655367359,54.10164569004325,Saskatchewan Road,unclassified,28.7,21.8,Low
102,103,25.06581737579132,126.55358992320525,Princes' Boulevard,unclassified,20.6,23.9,Low
104,105,32.31862495147684,232.12447394116828,Prince Edward Island Crescent,unclassified,30.96,21.5,Low
9365,106,17.668960848627083,64.39523184500493,Unnamed,footway,16.6,16.6,Low
107,108,28.74503423022095,352.7074931868682,Manitoba Drive,unclassified,19.0,23.5,Low
109,110,28.134616427043678,352.6257897617155,Princes' Boulevard,unclassified,21.4,20.2,Low
111,112,30.0133981469043,56.80979390508113,Manitoba Drive,unclassified,32.1,24.7,Low
113,114,35.61416805015601,355.95537978892094,Nunavut Road,unclassified,24.03,28.5,Low
115,113,26.64826727927985,111.96608718046535,Nova Scotia Avenue,unclassified,23.9,24.03,Low
116,117,34.14935342048852,37.97426809995454,Fort York Boulevard,tertiary,33.2,32.6,Low
118,119,29.015994843183318,12.774689116346151,Garrison Road,unclassified,24.6,32.7,Low
6364,120,61.50628652698625,609.2696631864536,Bellwoods Avenue,residential,40.67,35.77,Medium
